response_id,date,customer_type,age_range,visit_frequency,heard_about_us,overall_rating,food_rating,service_rating,atmosphere_rating,value_rating,would_recommend,likely_to_return,favorite_item,what_would_improve,additional_comments
22,2024-03-25,regular,65+,weekly,been_coming_for_years,5,5,5,5,5,yes,definitely,"Everything","Nothing","Perfect the way it is. Maggie built something special."
23,2024-03-26,first_time,25-34,first_visit,instagram,3,3,4,2,3,maybe,probably_not,"Service was friendly","The aesthetic. It's not Instagram-worthy at all.","Came for content, left with nothing to post. Food was fine I guess."
24,2024-03-26,occasional,45-54,monthly,word_of_mouth,5,4,5,5,5,yes,definitely,"The whole experience","Nothing - the 'dated' vibe is the point!","Love that it feels unchanged. Like visiting the past. Don't modernize!"
25,2024-03-27,first_time,18-24,first_visit,google_maps,2,2,3,2,3,no,no,"Nothing","Everything needs updating. Felt like eating in a nursing home.","Yikes. How is this place still open? So depressing."
26,2024-03-27,regular,55-64,daily,been_coming_for_years,5,5,5,5,5,yes,definitely,"Morning coffee ritual","Nothing","This is my third place. Don't take it away from me."
27,2024-03-28,occasional,35-44,monthly,live_nearby,4,4,4,3,4,yes,probably,"Kids menu options","Maybe some healthier sides? Fruit instead of just hash browns.","Bring the kids here. They love the milkshakes. We love the prices."
28,2024-03-28,first_time,25-34,first_visit,walked_by,3,3,4,3,4,maybe,maybe,"Staff was genuine","Hard to say. It's charming but also feels neglected.","On the fence. Could be cool if they leaned into the vintage thing intentionally."
29,2024-03-29,regular,65+,2-3x_per_week,been_coming_for_years,5,5,5,5,5,yes,definitely,"Luis's cooking","Nothing","Luis should teach cooking classes. His scrambled eggs are art."
30,2024-03-29,first_time,25-34,first_visit,yelp,3,4,4,2,4,maybe,probably,"Food was better than expected","The decor needs help. Felt sad eating there.","Food: 4 stars. Atmosphere: 2 stars. Overall: meh."
31,2024-03-30,occasional,35-44,few_times_per_year,been_coming_for_years,4,4,4,4,4,yes,probably,"Memories","Maybe a small refresh?","Brought my kids here - I used to come with MY parents. Bittersweet."
32,2024-03-30,first_time,25-34,first_visit,google_search,4,4,5,3,4,yes,probably,"The realness","Literally just better lighting would help a lot","Not my usual scene but I respect it. Authentic as hell."
33,2024-03-31,regular,65+,daily,been_coming_for_years,5,5,5,5,5,yes,definitely,"Being a regular","Outlive me please","When I die, scatter my ashes at the counter. Kidding. Mostly."
34,2024-03-31,first_time,25-34,first_visit,instagram,2,2,3,2,2,no,no,"The irony","Close and reopen as something else","Sorry but this is a relic. Put it out of its misery."
35,2024-04-01,occasional,45-54,monthly,word_of_mouth,5,5,5,5,5,yes,definitely,"Consistency","Nothing","Exactly the same every time. That's the point. That's the magic."
